Sucrose,,solid,,C12H22O11,342.2965
Sulfuric acid,,liquid,,H2SO4,98.0785
Toluene,,liquid,0.87,C7H8,92.1384
Trichloroacetic acid,,solid,,Cl3CCOOH,163.3871
"4-(1,1,3,3-Tetramethylbutyl)phenyl-polyethylene glycol, t-Octylphenoxypolyethoxyethanol, Polyethylene glycol tert-octylphenyl ether",TRITON X-100,liquid,1.07,variable,
Trypan Blue,,solid,,C34H24N6O14S4Na4,960.8052
tween 20,,liquid,1.1,variable,
tween-80,,liquid,1.075,variable,
Urea,,solid,,NH2CONH2,60.0553
Zinc acetate (anhydrous),,solid,,(CH3CO2)2Zn,183.468
Zinc acetate (dihydrate),,solid,,Zn(CH3COO)2 · 2H2O,219.4986
"2-Amino-2-(hydroxymethyl)-1,3-propanediol",Tris base,solid,,NH2C(CH2OH)3,121.135
